Feature Name,Locus,Start Coordinate,End Coordinate,Translation Start Coordinate,Translation End Coordinate,Disruptions Available,Distance from Translation Start,Fractional Distance from Translation Start,In Multiple Occupancy Well,Locatability,Progenitor Collection Address,Rearrayed Collection Address
SO_0055,['SO_0055'],61362,63077,63077,61362,"63043, 61379, 61496, 61474","34, 1698, 1581, 1603","0.02, 0.99, 0.92, 0.93","False, True, True, True","unambiguous, ambiguous, unambiguous, unambiguous","54_G7, 338_B11, 144_E3, 26_H9","9_A8, 29_C2, 36_A11, 40_B9"
SO_0056,['SO_0056'],63429,64187,63429,64187,"64147","718","0.95","False","unambiguous","158_H2","14_C12"
ktrB,['SO_0057'],64299,65660,65660,64299,"64651, 65169","1009, 491","0.74, 0.36","False, True","unambiguous, ambiguous","173_E12, 265_C3","16_F2, 22_D12"
ktrA,['SO_0058'],65662,66360,66360,65662,"66348, 65735, 65963, 66238","12, 625, 397, 122","0.02, 0.90, 0.57, 0.17","True, True, True, True","unambiguous, unambiguous, ambiguous, unambiguous","337_E9, 165_B3, 290_C8, 394_F6","29_C1, 37_A8, 41_A7, 43_A12"
kdpE,['SO_0059'],66406,67095,67095,66406,"66729","366","0.53","False","unambiguous","284_F3","24_H8"
kdpD,['SO_0060'],67096,68142,68142,67096,"67326, 68032, 68053","816, 110, 89","0.78, 0.11, 0.09","True, True, False","ambiguous, unambiguous, unambiguous","15_G12, 48_D5, 72_E2","1_H5, 9_F4, 45_E6"
nlpC,['SO_0061'],68407,68871,68407,68871,"68432","25","0.05","False","unambiguous","23_D7","8_G1"
SO_0062,['SO_0062'],69205,69591,69205,69591,"69419","214","0.55","True","unambiguous","321_D9","27_A12"
SO_0063,['SO_0063'],69588,70895,69588,70895,"70049, 70134, 69768","461, 546, 180","0.35, 0.42, 0.14","True, True, False","ambiguous, ambiguous, unambiguous","130_G2, 142_E2, 212_G6","6_C5, 13_E10, 19_G3"
mogA,['SO_0065'],71134,71667,71134,71667,"71542","408","0.77","True","unambiguous","135_H9","6_H8"
SO_0066,['SO_0066'],72364,78060,72364,78060,"72459, 74900, 72448, 76369, 78002","95, 2536, 84, 4005, 5638","0.02, 0.45, 0.01, 0.70, 0.99","True, True, False, True, True","unambiguous, unambiguous, ambiguous, ambiguous, unambiguous","46_C3, 275_H4, 275_A2, 151_E5, 263_B3","9_H3, 23_C11, 23_F9, 37_E2, 40_C10"
pbpC,['SO_0067'],78057,80339,78057,80339,"78325, 78325","268, 268","0.12, 0.12","False, True","unambiguous, unambiguous","341_B12, 341_B3","29_D5, 42_E9"
SO_0068,['SO_0068'],80364,80609,80609,80364,"80590","19","0.08","False","unambiguous","246_D7","21_G8"
natB,['SO_0069'],80667,81806,81806,80667,"81409, 81727","397, 79","0.35, 0.07","True, False","unambiguous, unambiguous","140_B3, 341_D3","6_E10, 29_H5"
natA,['SO_0070'],81904,82638,82638,81904,"82614","24","0.03","True","unambiguous","310_E1","27_G1"
SO_0071,['SO_0071'],82641,84260,84260,82641,"83683, 84252, 84252","577, 8, 8","0.36, 0.00, 0.00","True, True, True","ambiguous, unambiguous, unambiguous","366_F12, 4_B3, 4_B3","43_F4, 44_G2, 44_G2"
SO_0072,['SO_0072'],84353,84724,84353,84724,"84463, 84409","110, 56","0.30, 0.15","True, False","unambiguous, unambiguous","11_F3, 288_H2","1_B4, 41_C5"
SO_0073,['SO_0073'],84765,85628,84765,85628,"85358, 85373","593, 608","0.69, 0.70","False, True","unambiguous, unambiguous","149_A2, 295_B3","14_H2, 41_F7"
SO_0074,['SO_0074'],85625,86932,85625,86932,"86041, 85841","416, 216","0.32, 0.17","False, True","ambiguous, unambiguous","205_A1, 354_E10","18_B9, 30_B8"
icfE,['SO_0075'],87061,88854,87061,88854,"88843, 87334, 87844, 87867","1782, 273, 783, 806","0.99, 0.15, 0.44, 0.45","True, False, True, True","ambiguous, unambiguous, unambiguous, unambiguous","179_C7, 344_D9, 263_B3, 59_A2","16_E9, 29_E9, 40_C10, 45_F1"
SO_0076,['SO_0076'],88995,91481,88995,91481,"90948, 89924, 89816","1953, 929, 821","0.79, 0.37, 0.33","True, True, False","ambiguous, ambiguous, unambiguous","218_H9, 399_D9, 416_C4","19_B9, 34_E4, 35_D8"
SO_0077,['SO_0077'],91601,92017,91601,92017,"91746","145","0.35","False","unambiguous","211_D12","19_C2"
SO_0078,['SO_0078'],92009,92812,92812,92009,"92191","621","0.77","False","unambiguous","28_E12","8_H5"
SO_0079,['SO_0079'],92857,93123,93123,92857,"92988","135","0.51","False","unambiguous","296_E1","41_G7"
SO_0080,['SO_0080'],93185,93613,93613,93185,"93428","185","0.43","False","unambiguous","206_F6","18_D10"
gfaB,['SO_0081'],93761,94156,93761,94156,"","","","","","",""
SO_0082,['SO_0082'],94160,94516,94160,94516,"94306","146","0.41","False","unambiguous","281_D1","24_A5"
SO_0083,['SO_0083'],94704,95090,94704,95090,"94719, 94940, 94820","15, 236, 116","0.04, 0.61, 0.30","False, True, True","unambiguous, ambiguous, ambiguous","158_E1, 221_B7, 394_F6","14_D11, 19_F10, 43_A12"
mtnC,['SO_0084'],95148,95828,95828,95148,"95579","249","0.37","False","unambiguous","247_E1","21_A10"
SO_0085,['SO_0085'],96192,96626,96192,96626,"96454, 96332","262, 140","0.60, 0.32","True, True","unambiguous, unambiguous","381_H12, 262_F8","32_H10, 40_H9"
SO_0086,['SO_0086'],96994,97721,96994,97721,"97053","59","0.08","False","unambiguous","100_H2","5_A3"
SO_0088,['SO_0088'],97916,98515,98515,97916,"98505","10","0.02","True","unambiguous","284_D10","24_C8"
SO_0090,['SO_0090'],98787,99329,98787,99329,"99063","276","0.51","False","unambiguous","110_F8","5_C7"
SO_0091,['SO_0091'],99494,100090,100090,99494,"99574","516","0.87","False","unambiguous","112_G10","36_F2"
deoD,['SO_0092'],100249,100959,100959,100249,"100909","50","0.07","False","unambiguous","220_G3","39_G5"
SO_0093,['SO_0093'],100974,102194,102194,100974,"101943, 101627, 101651","251, 567, 543","0.21, 0.46, 0.45","False, True, True","unambiguous, ambiguous, unambiguous","48_F2, 251_D3, 343_B3","9_H4, 40_A6, 42_A10"
hutI,['SO_0095'],102534,103760,103760,102534,"102565, 103477","1195, 283","0.97, 0.23","True, False","unambiguous, unambiguous","166_C5, 3_F3","15_B7, 41_B9"
hutC,['SO_0096'],103967,104674,103967,104674,"104262","295","0.42","True","unambiguous","367_C1","43_G4"
hutU,['SO_0097'],104801,106471,104801,106471,"104834, 105718","33, 917","0.02, 0.55","False, True","unambiguous, ambiguous","324_E6, 353_A8","28_B2, 30_G6"
hutH,['SO_0098'],106536,108077,106536,108077,"107037, 107240, 107240, 107240, 106817, 107240, 106904","501, 704, 704, 704, 281, 704, 368","0.33, 0.46, 0.46, 0.46, 0.18, 0.46, 0.24","False, True, True, True, True, True, True","unambiguous, ambiguous, ambiguous, ambiguous, unambiguous, ambiguous, ambiguous","365_D7, 151_H3, 151_H3, 151_H3, 181_B3, 235_H3, 413_F10","31_F6, 37_B2, 37_C2, 37_D2, 38_B2, 39_F10, 44_H7"
fdnG,['SO_0101'],108703,111717,108703,111717,"109612, 110425, 110398","909, 1722, 1695","0.30, 0.57, 0.56","False, True, True","unambiguous, ambiguous, unambiguous","71_G6, 195_A6, 25_B3","3_E10, 17_H11, 40_G4"
fdnH,['SO_0102'],111720,112634,111720,112634,"111912, 112116","192, 396","0.21, 0.43","False, True","unambiguous, unambiguous","335_B1, 246_B3","28_A11, 40_H2"
fdnI,['SO_0103'],112631,113272,112631,113272,"112804","173","0.27","False","unambiguous","269_H6","23_B5"
fdhE,['SO_0104'],113272,114180,113272,114180,"113291","19","0.02","True","unambiguous","86_A10","4_D5"
selA,['SO_0105'],114238,115659,114238,115659,"114484, 115122","246, 884","0.17, 0.62","False, True","unambiguous, unambiguous","167_D11, 327_G10","15_G8, 28_E4"
selB,['SO_0106'],115662,117677,115662,117677,"115854, 115691","192, 29","0.10, 0.01","True, True","unambiguous, ambiguous","407_H7, 300_D3","34_B12, 41_A10"
SO_t002,['SO_t002'],117553,117643,117643,117553,"","","","","","",""
fdhD,['SO_0107'],117785,118621,117785,118621,"117792","7","0.01","True","unambiguous","282_F5","24_F6"
yedE,['SO_0108'],118747,119961,118747,119961,"118775, 118798","28, 51","0.02, 0.04","False, True","unambiguous, unambiguous","117_A4, 233_B3","5_B11, 39_A10"
yedF,['SO_0109'],119961,120194,119961,120194,"119983","22","0.09","True","unambiguous","261_D12","40_D9"
SO_0110,['SO_0110'],120287,121630,121630,120287,"121502, 121255","128, 375","0.10, 0.28","False, True","unambiguous, unambiguous","178_F9, 280_B3","16_C8, 41_A3"
SO_0111,['SO_0111'],121746,122360,122360,121746,"122087","273","0.44","False","unambiguous","195_E7","38_H7"
SO_0112,['SO_0112'],122642,123265,122642,123265,"122964","322","0.52","False","unambiguous","91_A6","4_B8"
SO_0113,['SO_0113'],123266,124255,124255,123266,"124217","38","0.04","False","unambiguous","372_A7","31_H12"
SO_0114,['SO_0114'],124394,125005,125005,124394,"124852, 124880, 124965","153, 125, 40","0.25, 0.20, 0.07","True, True, False","unambiguous, unambiguous, ambiguous","133_F6, 352_G2, 285_G8","6_C7, 30_F6, 41_E4"
SO_0115,['SO_0115'],125325,126302,125325,126302,"","","","","","",""
SO_0116,['SO_0116'],126481,127458,126481,127458,"126695","214","0.22","False","unambiguous","118_A7","12_F7"
SO_4830,['SO_4830'],127793,127819,127793,127819,"","","","","","",""
SO_0118,['SO_0118'],128107,128979,128107,128979,"128246","139","0.16","True","unambiguous","16_G12","1_E6"
SO_0119,['SO_0119'],129240,129632,129240,129632,"129392, 129261","152, 21","0.39, 0.05","True, True","unambiguous, ambiguous","57_A2, 399_A5","3_E2, 44_B2"
SO_0120,['SO_0120'],129650,130228,130228,129650,"129740, 130149, 129988","488, 79, 240","0.84, 0.14, 0.42","True, False, True","ambiguous, unambiguous, unambiguous","37_A11, 131_A7, 388_G1","2_E6, 13_A5, 33_B8"
ybdG,['SO_0121'],130437,131705,130437,131705,"130451, 130513","14, 76","0.01, 0.06","False, True","unambiguous, ambiguous","96_G8, 386_B3","4_E12, 43_H9"
SO_0122,['SO_0122'],131702,132325,132325,131702,"131794","531","0.85","False","unambiguous","240_E11","21_F3"
SO_0123,['SO_0123'],132352,132912,132912,132352,"132763","149","0.27","True","unambiguous","246_H8","21_C9"
SO_0125,['SO_0125'],133040,133489,133040,133489,"133070","30","0.07","False","unambiguous","345_H12","42_E10"
SO_0126,['SO_0126'],133511,134311,134311,133511,"134107, 134303","204, 8","0.26, 0.01","True, False","unambiguous, unambiguous","119_A6, 164_C3","5_A12, 15_H5"
SO_0127,['SO_0127'],134374,136014,136014,134374,"134530, 135824, 135736, 135736","1484, 190, 278, 278","0.90, 0.12, 0.17, 0.17","True, False, True, True","unambiguous, unambiguous, unambiguous, unambiguous","218_B9, 235_E1, 396_B3, 396_B3","19_H7, 39_E10, 44_A1, 44_B1"
yhgN,['SO_0129'],136310,136903,136310,136903,"136396","86","0.15","False","unambiguous","8_C6","1_A3"
prtV,['SO_0130'],137207,140014,137207,140014,"139579, 139258, 139578, 139578, 139578, 137331, 138923","2372, 2051, 2371, 2371, 2371, 124, 1716","0.85, 0.73, 0.84, 0.84, 0.84, 0.04, 0.61","True, True, True, True, True, False, True","ambiguous, ambiguous, unambiguous, unambiguous, unambiguous, ambiguous, unambiguous","208_E9, 411_D2, 214_A3, 214_B3, 214_B3, 258_F12, 407_B10","18_H11, 35_D3, 39_A3, 39_B3, 39_C3, 40_D8, 44_C6"
ubiC,['SO_0131'],140071,140640,140640,140071,"140623","17","0.03","False","unambiguous","335_H3","28_F11"
SO_0132,['SO_0132'],140742,141152,140742,141152,"140756","14","0.03","False","unambiguous","374_C5","43_E6"
rlmF,['SO_0134'],141212,142309,141212,142309,"141334","122","0.11","False","unambiguous","162_C12","15_D4"
SO_0135,['SO_0135'],142352,142642,142642,142352,"","","","","","",""
SO_0136,['SO_0136'],142669,143331,143331,142669,"143217","114","0.17","True","unambiguous","230_F4","20_E6"
moeB,['SO_0137'],143381,144142,144142,143381,"144128","14","0.02","False","unambiguous","116_H8","36_F3"
moeA,['SO_0138'],144154,145407,145407,144154,"144430, 145059","977, 348","0.78, 0.28","True, True","unambiguous, unambiguous","130_G6, 378_F12","13_G4, 43_F7"
ftn,['SO_0139'],145712,146248,145712,146248,"145779, 145998","67, 286","0.12, 0.53","False, True","unambiguous, unambiguous","403_A1, 184_B3","34_D7, 38_H2"
SO_0141,['SO_0141'],146606,149839,149839,146606,"149678, 149156, 149740, 148581, 147371","161, 683, 99, 1258, 2468","0.05, 0.21, 0.03, 0.39, 0.76","True, True, True, True, True","unambiguous, ambiguous, unambiguous, unambiguous, ambiguous","139_F3, 393_C9, 255_G10, 341_B3, 4_D3","13_H8, 33_B10, 40_F7, 42_E9, 44_H2"
ribB,['SO_0142'],150203,150856,150856,150203,"150842","14","0.02","True","unambiguous","265_C3","22_D12"
ptrB,['SO_0144'],151519,153654,151519,153654,"151657, 153653, 152395","138, 2134, 876","0.06, 1.00, 0.41","True, True, True","unambiguous, unambiguous, unambiguous","291_C7, 298_H4, 85_B3","25_A2, 25_C11, 45_A9"
SO_0145,['SO_0145'],153665,154045,153665,154045,"153801","136","0.36","False","unambiguous","235_C2","20_A11"
tnpA,['SO_0146'],154156,155370,155370,154156,"","","","","","",""
SO_0147,['SO_0147'],155715,156200,155715,156200,"155720","5","0.01","False","unambiguous","333_D8","28_D9"
SO_0148,['SO_0148'],156365,157000,156365,157000,"156408","43","0.07","False","unambiguous","339_C8","29_C4"
SO_0149,['SO_0149'],157060,157206,157060,157206,"","","","","","",""
SO_0150,['SO_0150'],158400,159176,159176,158400,"158439, 159169, 158930","737, 7, 246","0.95, 0.01, 0.32","True, False, True","ambiguous, unambiguous, unambiguous","194_E3, 250_D2, 52_B5","17_D11, 21_A12, 44_B12"
SO_0151,['SO_0151'],159448,160215,159448,160215,"159976, 159931, 159931","528, 483, 483","0.69, 0.63, 0.63","False, True, True","unambiguous, ambiguous, ambiguous","158_F7, 64_A12, 72_A12","14_A12, 45_A3, 45_D6"
SO_0152,['SO_0152'],160241,162232,162232,160241,"162115","117","0.06","False","unambiguous","283_A5","24_C7"
SO_0154,['SO_0154'],162366,163490,163490,162366,"163325, 162582","165, 908","0.15, 0.81","False, True","unambiguous, unambiguous","315_H8, 159_B3","27_B8, 37_A6"
SO_0157,['SO_0157'],164022,165260,165260,164022,"165203","57","0.05","False","unambiguous","192_G5","17_D9"
SO_0159,['SO_0159'],165737,166093,165737,166093,"165959","222","0.62","False","unambiguous","66_G12","3_B8"
SO_0160,['SO_0160'],166258,167817,167817,166258,"167592, 166967","225, 850","0.14, 0.55","False, True","unambiguous, unambiguous","341_H11, 394_E5","29_F6, 43_H11"
pckA,['SO_0162'],168071,169612,169612,168071,"169234","378","0.25","False","unambiguous","63_E1","9_C12"
hslO,['SO_0163'],169814,170674,170674,169814,"170357","317","0.37","False","unambiguous","160_E5","15_G2"
hslR,['SO_0164'],170700,171098,171098,170700,"171057","41","0.10","False","unambiguous","103_G6","35_D12"
gspC,['SO_0165'],171350,172276,171350,172276,"171661, 171370","311, 20","0.34, 0.02","True, True","unambiguous, unambiguous","349_C10, 319_B3","30_H2, 42_G2"
gspD,['SO_0166'],172301,174415,172301,174415,"172532","231","0.11","False","unambiguous","275_B6","23_G9"
gspE,['SO_0167'],174412,175977,174412,175977,"174707, 174707, 174429","295, 295, 17","0.19, 0.19, 0.01","False, True, True","unambiguous, unambiguous, ambiguous","144_B5, 144_B3, 83_C4","6_H12, 36_H10, 45_G8"
gspF,['SO_0168'],175981,177204,175981,177204,"176434, 176940, 176940","453, 959, 959","0.37, 0.78, 0.78","False, True, True","unambiguous, unambiguous, unambiguous","157_F5, 265_B7, 265_B7","14_D10, 40_F10, 40_G10"
gspG,['SO_0169'],177279,177713,177279,177713,"177593","314","0.72","False","unambiguous","99_C2","11_B8"
gspH,['SO_0170'],177715,178287,177715,178287,"177719","4","0.01","False","unambiguous","282_E5","24_C6"
gspI,['SO_0171'],178274,178642,178274,178642,"178445","171","0.46","False","unambiguous","337_H7","42_D8"
gspJ,['SO_0172'],178623,179390,178623,179390,"179066, 178727","443, 104","0.58, 0.14","True, False","unambiguous, unambiguous","238_F1, 417_G1","21_G1, 44_B9"
gspK,['SO_0173'],179387,180385,179387,180385,"179595, 179979","208, 592","0.21, 0.59","False, True","unambiguous, unambiguous","247_C11, 244_F4","21_F9, 40_C2"
gspL,['SO_0174'],180434,181621,180434,181621,"180452, 180452","18, 18","0.02, 0.02","True, True","ambiguous, ambiguous","160_B5, 160_B5","15_C2, 37_C6"
gspM,['SO_0175'],181623,182099,181623,182099,"181871","248","0.52","True","unambiguous","368_F11","31_C10"
gspN,['SO_0176'],182114,182875,182114,182875,"182788, 182146","674, 32","0.89, 0.04","False, True","unambiguous, ambiguous","130_G5, 177_C3","6_D5, 16_E6"
yrfG,['SO_0177'],182935,183597,183597,182935,"183432","165","0.25","False","unambiguous","302_D11","26_D4"
SO_0179,['SO_0179'],183695,184327,183695,184327,"183882","187","0.30","False","unambiguous","151_A10","14_F4"
phyH,['SO_0180'],184305,186314,184305,186314,"185558, 184751, 184349","1253, 446, 44","0.62, 0.22, 0.02","True, True, False","ambiguous, ambiguous, unambiguous","77_F6, 87_C8, 245_H2","4_F1, 10_A12, 21_D8"
SO_0181,['SO_0181'],186314,187441,186314,187441,"186355","41","0.04","False","unambiguous","369_A10","31_G10"
SO_0182,['SO_0182'],187553,187840,187553,187840,"187739","186","0.65","False","unambiguous","10_C9","1_G3"
SO_0183,['SO_0183'],187837,188319,188319,187837,"188147","172","0.36","True","ambiguous","254_C12","40_H6"
SO_0184,['SO_0184'],188405,188956,188405,188956,"188492","87","0.16","False","unambiguous","338_B5","29_D2"
SO_0185,['SO_0185'],188996,189526,188996,189526,"189295","299","0.56","False","unambiguous","20_G6","1_B9"
SO_0186,['SO_0186'],189555,190100,189555,190100,"189601, 189600","46, 45","0.08, 0.08","True, False","unambiguous, ambiguous","36_B11, 154_C4","2_C6, 37_G3"
SO_0187,['SO_0187'],190156,191379,190156,191379,"190337, 190491","181, 335","0.15, 0.27","True, True","unambiguous, unambiguous","218_B8, 68_H3","39_F4, 45_F4"
SO_0188,['SO_0188'],191382,192473,191382,192473,"192425, 192082, 191834, 191503","1043, 700, 452, 121","0.96, 0.64, 0.41, 0.11","True, True, True, True","ambiguous, ambiguous, unambiguous, unambiguous","26_C11, 255_H4, 393_E12, 360_F3","2_B1, 22_E4, 33_D10, 43_H3"
SO_0189,['SO_0189'],192488,200056,192488,200056,"192848, 192612, 194776, 199157, 195298, 193123","360, 124, 2288, 6669, 2810, 635","0.05, 0.02, 0.30, 0.88, 0.37, 0.08","True, False, True, True, True, True","ambiguous, unambiguous, ambiguous, unambiguous, unambiguous, ambiguous","179_H11, 383_A2, 404_D12, 236_B3, 254_B3, 413_E5","16_A10, 32_F12, 34_B8, 39_A11, 40_A7, 44_C8"
nudE,['SO_0190'],200294,200845,200294,200845,"200374","80","0.15","False","unambiguous","241_B12","21_A4"
cysQ,['SO_0191'],200915,201727,200915,201727,"201275, 201276, 201275","360, 361, 360","0.44, 0.44, 0.44","True, False, True","ambiguous, unambiguous, ambiguous","253_H7, 321_B10, 253_E7","22_B3, 27_F11, 40_F6"
SO_0192,['SO_0192'],201735,202178,201735,202178,"201939","204","0.46","False","unambiguous","359_C2","30_G12"
SO_0193,['SO_0193'],202414,203025,202414,203025,"202564, 202614, 202564","150, 200, 150","0.25, 0.33, 0.25","True, True, False","ambiguous, unambiguous, ambiguous","17_B11, 314_E2, 17_A11","7_E10, 27_C6, 37_D9"
SO_0194,['SO_0194'],203016,204878,203016,204878,"203117","101","0.05","False","unambiguous","333_G3","28_F9"
