readAlignmentCoord,A,B,C,D,E,F,G,H,1,2,3,4,5,6,7,8,9,10,11,12,PR01,PR02,PR03,PR04,PR05,PR06,PR07,PR08,PR09,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
22817,4,1,1,8,3,6,7414,1,3,6806,3,0,3,1,2,1,2,22,1,5,3,5457,4,9,0,3,4,2,2,1,14571,2,5,4,5,5,1,3,4
22818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
24369,0,0,0,0,1,1,0,628,0,0,0,0,1,2,0,1629,3,0,1,0,1,533,0,1,2,0,1,1,0,1,1,0,2,0,0,3109,0,0,0
24370,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
26635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26636,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
26637,1897,1,0,1,0,2,2,0,2,3,1,0,0,1,1,1,0,2538,1,1,0,2,1,2212,0,2,2,0,2,0,8,0,1,2,2433,1,1,1,0
26638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27088,76,91,0,37,0,0,0,0,0,1,0,0,0,10,443,0,0,0,0,1,0,0,47,0,0,722,0,1,0,0,0,1,0,0,173,0,0,466,0
27089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27629,1,1,1,653,438,1,1,1,3,0,1,1,2,0,0,0,1,7,2,6408,1,3,0,3,3,2,2950,0,2,1,2417,0,0,2,1,0,2,2,0
27630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
28443,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28445,0,0,279,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,511,1,1,0,669,1,0,0,0,0,0,0,0,0,0,0,0,0,501,0
29171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
29172,8,29,6,7,3623,4,11,3,9,0,6,4,4,7,4,3,9,6,11368,9,8,6962,5,3,5,8,4,5,54,6,6,3,23670,6,2,7,8,3,5
29173,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
29174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29660,2088,1807,1476,2962,822,1883,320,4561,6,5,4,9,7,2533,23079,19562,5,19,10,17,12,13,12,12,18,10,12,5956,15,17,13218,6,9,14,10,5,11,8,11
29661,1,1,2,2,0,0,0,2,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0
29662,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30955,1,0,0,0,0,314,0,0,1,1,0,454,0,0,0,0,0,0,0,0,228,0,0,0,1,1,0,0,0,0,0,193,0,0,1,1,0,1,0
30956,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31441,5,2,3,0,0,2,3528,2,2,0,4,4,3,2,3,1,0,2,1,8577,2,1,7,6,5585,2,2,3,1,3662,1,0,4,1,1,0,0,2,6
31442,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32027,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
32028,0,0,401,0,0,1,0,0,0,0,0,0,0,875,0,0,0,0,0,0,622,2,0,0,0,0,0,0,2,0,0,466,1,1,0,0,0,1,0
32253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32744,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
33601,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33602,4,527,1,1,0,1,3,4,3,1,1,1,1,0,3,1,1,627,3,2,2,2,988,0,0,3,1,1,1,6,4,1,332,2,5,2,5,2,3
33603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33776,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
35209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
35267,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35867,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35869,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
35870,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,14
35871,2,2,1703,1946,0,0,2,3,0,0,2,2,4,3,1,1,1,2,2,7163,1,2,2,1,3,3,3,2290,1,1,3,5,1,1,1,3,0,0,2123
35873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36393,3,4,1502,1,1,3,3,2,0,4,1,0,3,2,2,4,2,1,4,5659,3,3636,4,4,1,2,3,1,3,7234,1,0,0,2,1,1,2,1,11
36394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
36608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37890,1,0,378,0,0,1,0,0,0,0,0,1,257,0,0,0,0,0,0,0,0,0,0,817,1,0,0,0,0,2,0,0,1737,1,0,0,1,0,0
37891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
38074,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0
38075,0,0,1,1066,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1219,2,1,0,1284,1,1,1,0,1,0,2,0,0,0,1890,0,2,0,0
38522,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38523,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38524,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0
38525,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0
38526,1,0,391,368,33,103,0,0,0,0,709,0,0,0,0,1,1,3,1,1,1,2,2,3,0,2,2304,0,0,0,1933,1,0,0,1,1,2,0,0
38527,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
38528,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
39232,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
39233,1,0,0,2,3,3,1,3,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,4,43,7,0,0,0,0,0,0,0,0
39234,204,0,28,427,256,806,206,429,124,0,1,0,2,2,2,2,0,2,2743,2045,2,2,0,1,0,0,0,1,1461,1622,928,2,1,0,3,0,1,1,4
39389,4,6,8,6,3444,3,3,10,6,4,3,4,5,2,6,1,4,5875,5,11,4,2,4,12129,7,4,0,1,4,8199,12,5,4,4,5,3,4,6,15
39390,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
39391,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40322,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40583,6,0,2,0,3,4271,0,1,0,2802,1,0,2,0,2,2,1,11,3,0,0,1,1,2451,1,1,3,0,2,2,1,1605,1,1,0,0,2,2,0
40584,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
40585,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41262,8,0,1,0,3,4084,0,1,1,5,1,2,1644,3,2,0,2,4,1,0,2405,1,0,4,2,4,1,0,696,2,0,0,1120,1,0,484,1,1,1
41263,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42987,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42988,1,0,0,0,1,1,8,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,0,0
42989,3,0,0,0,6,8,23,7,0,0,0,0,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,28,0,53,0,0,1,0,0,0,0,0,0
42990,1094,7,3,4,1566,840,4956,1733,3,0,0,6,3,7,5044,2441,8,4,4,6,1,1,4,11,4,9,2,4214,2,11393,6,1,1,6,7,2,6,2,8
42991,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43133,116,137,1,1,0,0,0,1,0,0,2,0,0,1023,2,0,1,1,0,0,1,0,0,0,0,784,0,1,0,248,0,0,0,0,0,0,0,0,0
43134,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
43135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
43725,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
43726,4,2,1,3,2053,1,0,1,2,0,0,1,1,1,5,0,5077,1,2,5,4700,2,1,2,2,1,3,0,1,4665,0,0,2,2,2,1,1,0,6
43727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44622,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
44623,1,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,723,0,1,0,1,0,0,0,1,0,1172,0,1,0,1,1,0,0,2
45014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
45015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
45016,0,0,328,0,0,0,0,0,0,0,0,1,0,0,238,0,0,0,0,0,1,159,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0
45017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45431,0,0,0,1,0,91,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,73,0,0,55,0,0,0,0,0,0,0,0,0
51759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
51760,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
51761,522,1,0,3,0,654,33,2,755,0,0,0,0,1,0,0,1,1,0,3868,1,2,2,0,1,1,0,1146,0,2,1,0,1,0,0,0,2,940,784
52044,0,2,3,0,0,1,1044,2,2,1,0,0,1,3,1,0,4,1,1864,2,3,0,2,4,3662,1,2,0,12,2,2,0,3,1993,1,2,1,3,1
52045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52884,0,0,1,1,468,0,1,2,0,866,0,0,0,0,0,2,1,0,0,0,1,0,946,1,0,2,0,0,0,0,0,0,0,2,0,0,0,1,1190
52885,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
53289,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53871,0,1,1,788,3,1,1,0,0,0,0,0,0,1,718,2,2,0,0,0,1,0,1083,1,0,0,1,0,0,3,2,0,0,0,2,0,700,0,0
53872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57417,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57418,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
57419,1,1635,0,0,1,2,1,0,1,1,1,0,3,0,1,2183,3,0,1,1,0,1,1297,3,0,0,1,0,2,0,0,0,0,1415,0,2,0,1,2
