#Plate,Well,Hoped For Transposon Coord,Feature,Average Value,Occupancy,Occupancy Test,Potential Hit,Retest,Rearray or Colony Purify,Comment,Progenitor Collection Plate,Progenitor Collection Well
1,E04,5043394,parA,6.5E-01,True,OK,FALSE,,Rearray,,13,A01
1,E05,2799069,lys,6.5E-01,True,OK,FALSE,,Rearray,,15,D10
1,E06,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,E07,1822843,oleB,6.9E-01,True,OK,FALSE,,Rearray,,18,F12
1,E08,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
1,E09,43726,aroE,6.0E-01,True,OK,FALSE,,Rearray,,21,D09
1,E10,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,E11,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,E12,3396959,SO_3261,5.9E-01,True,OK,FALSE,,Rearray,,25,D03
1,F01,2820556,gp48,5.0E-01,True,OK,FALSE,,Rearray,,4,D11
1,F02,2445856,astE,6.2E-01,True,OK,TRUE,,Rearray,,7,H01
1,F03,-1,Blank,7.7E-01,False,OK,FALSE,,Rearray,,,
1,F04,437953,pdhR,6.1E-01,True,OK,FALSE,,Rearray,,13,B12
1,F05,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,F06,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,F07,475496,SO_0448,6.0E-01,True,OK,FALSE,,Rearray,,18,F05
1,F08,1609274,gcvA,6.2E-01,True,OK,FALSE,,Rearray,,19,H01
1,F09,3970027,amtB,6.0E-01,True,OK,FALSE,,Rearray,,21,E08
1,F10,4495519,bpfA,5.8E-01,True,OK,FALSE,,Rearray,,22,G03
1,F11,489583,SO_0466,6.0E-01,True,OK,FALSE,,Rearray,,24,C02
1,F12,579417,SO_0559,5.9E-01,True,OK,FALSE,,Rearray,,25,E02
1,G01,1436273,SO_1379,4.8E-01,True,OK,FALSE,,Rearray,,4,F01
1,G02,4599775,SO_4407,5.6E-01,True,OK,FALSE,,Rearray,,8,B04
1,G03,187739,SO_0182,5.9E-01,True,OK,FALSE,,Rearray,,10,C09
1,G04,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,G05,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,G06,1009925,rumB,6.3E-01,True,OK,FALSE,,Rearray,,17,C04
1,G07,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,G08,1028823,SO_0997,6.0E-01,True,OK,FALSE,,Rearray,,20,A07
1,G09,3635918,SO_3488,5.9E-01,True,OK,FALSE,,Rearray,,21,G04
1,G10,1663325,SO_1587,5.7E-01,True,OK,FALSE,,Rearray,,23,A04
1,G11,1008896,glpD,5.6E-01,True,OK,FALSE,,Rearray,,24,F07
1,G12,1826447,oleD,5.7E-01,True,OK,FALSE,,Rearray,,25,G01
1,H01,294603,aroB,4.7E-01,True,OK,TRUE,,Rearray,Slow.,5,G02
1,H02,2794020,SO_2660,4.7E-01,True,OK,FALSE,,Rearray,,8,C05
1,H03,2930899,SO_2808,5.1E-01,True,OK,FALSE,,Rearray,,10,G02
1,H04,4926120,tupC,5.6E-01,True,OK,FALSE,,Rearray,,13,H05
1,H05,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,H06,213182,SO_0205,5.6E-01,True,OK,FALSE,,Rearray,,17,E01
1,H07,4109741,SO_3972,5.5E-01,True,OK,FALSE,,Rearray,,19,B08
1,H08,1704312,ptsG,5.2E-01,True,OK,FALSE,,Rearray,,20,B05
1,H09,2085999,nadV,5.2E-01,True,OK,FALSE,,Rearray,,21,G07
1,H10,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
1,H11,2805210,gpF,5.0E-01,True,OK,FALSE,,Rearray,,24,F09
1,H12,4933598,SO_4729,4.9E-01,True,OK,FALSE,,Rearray,,26,A10
2,A01,634464,petB,4.3E-01,True,OK,FALSE,,Rearray,,26,A07
2,A02,-1,Blank,7.2E-01,False,OK,FALSE,,Rearray,,,
2,A03,1157290,dinB,5.3E-01,True,OK,FALSE,,Rearray,,29,D02
2,A04,507460,sirC,5.5E-01,True,OK,FALSE,Yes,Rearray,,32,A03
2,A05,4698560,SO_4506,5.4E-01,True,OK,FALSE,,Rearray,,34,A03
2,A06,2001516,sugE,5.7E-01,True,OK,FALSE,,Rearray,,35,F11
2,A07,2807071,gpI,5.6E-01,True,OK,FALSE,,Rearray,,38,D12
2,A08,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
2,A09,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
2,A10,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
2,A11,1258683,prfC,4.7E-01,True,OK,FALSE,,Rearray,,47,D08
2,A12,-1,Blank,7.2E-01,False,OK,FALSE,,Rearray,,,
2,B01,-1,Blank,6.9E-01,False,OK,FALSE,,Rearray,,,
2,B02,-1,Blank,7.4E-01,False,OK,FALSE,,Rearray,,,
2,B03,4463113,SO_4283,5.8E-01,True,OK,FALSE,,Rearray,,29,G10
2,B04,1112780,gbpA,5.9E-01,True,OK,FALSE,,Rearray,,32,B07
2,B05,4716839,SO_4522,6.2E-01,True,OK,FALSE,,Rearray,,34,C09
2,B06,5016054,SO_A0055,6.0E-01,True,OK,FALSE,,Rearray,,35,F09
2,B07,2944468,yehT,5.9E-01,True,OK,FALSE,,Rearray,,38,F03
2,B08,1147817,nqrB,6.2E-01,True,OK,FALSE,,Rearray,,41,A01
2,B09,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
2,B10,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
2,B11,44623,SO_0041,5.5E-01,True,OK,FALSE,,Rearray,,47,E03
2,B12,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
2,C01,3025104,cysZ,6.9E-01,True,OK,TRUE,Yes,Rearray,Slow.,26,D02
2,C02,4850559,cysW,5.6E-01,True,OK,FALSE,Yes,Rearray,,28,D12
2,C03,560720,SO_0541,7.8E-01,False,DO,FALSE,,Rearray,Slow.,29,G04
2,C04,4802413,coxA,5.9E-01,True,OK,FALSE,,Rearray,,32,F04
2,C05,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
2,C06,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
2,C07,587359,znuA,5.9E-01,True,OK,FALSE,,Rearray,,38,H09
2,C08,-1,Blank,8.3E-01,False,OK,FALSE,,Rearray,,,
2,C09,697269,SO_0680,5.9E-01,True,OK,FALSE,,Rearray,,43,H07
2,C10,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
2,C11,-1,Blank,7.7E-01,False,OK,FALSE,,Rearray,,,
2,C12,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
2,D01,2797436,SO_4789,4.8E-01,True,OK,FALSE,,Rearray,,26,E08
2,D02,332455,SO_0329,5.4E-01,True,OK,FALSE,,Rearray,,28,G12
2,D03,-1,Blank,7.7E-01,False,OK,FALSE,,Rearray,,,
2,D04,2358347,SO_2241,8.2E-01,False,DO,FALSE,,Rearray,,32,G08
2,D05,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
2,D06,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
2,D07,1433117,SO_1376,6.2E-01,True,OK,FALSE,,Rearray,,39,A03
2,D08,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
2,D09,1520014,SO_1461,6.1E-01,True,OK,FALSE,,Rearray,,44,A11
2,D10,1577832,SO_1504,5.9E-01,True,OK,FALSE,,Rearray,,46,E08
2,D11,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
2,D12,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
2,E01,4433291,SO_4257,5.0E-01,True,OK,FALSE,,Rearray,,26,F09
2,E02,634164,petA,5.5E-01,True,OK,FALSE,,Rearray,,28,H01
2,E03,1610732,rlmM,5.8E-01,True,OK,FALSE,,Rearray,,30,F12
2,E04,1574213,SO_1501,6.0E-01,True,OK,FALSE,,Rearray,,32,H09
2,E05,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
2,E06,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
2,E07,2077741,SO_1973,6.0E-01,True,OK,FALSE,,Rearray,,39,A07
2,E08,3268125,dctD,6.1E-01,True,OK,FALSE,,Rearray,,41,B08
2,E09,3214507,SO_3090,5.9E-01,True,OK,FALSE,,Rearray,,44,A05
2,E10,4408374,SO_4231,5.9E-01,True,OK,FALSE,,Rearray,,46,E09
2,E11,1083423,SO_1045,5.7E-01,True,OK,FALSE,,Rearray,,48,E09
2,E12,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
2,F01,-1,Blank,7.0E-01,False,OK,FALSE,,Rearray,,,
2,F02,4559900,recG,5.7E-01,True,OK,TRUE,,Rearray,,29,A07
2,F03,4580338,SO_4385,5.7E-01,True,OK,FALSE,,Rearray,,31,C02
2,F04,3119935,SO_3003,5.9E-01,True,OK,FALSE,,Rearray,,33,A12
2,F05,3834180,calB,6.0E-01,True,OK,FALSE,,Rearray,,35,C04
2,F06,723354,SO_0706,6.1E-01,True,OK,FALSE,,Rearray,,37,C10
2,F07,4546175,SO_4353,6.1E-01,True,OK,FALSE,,Rearray,,39,A09
2,F08,299695,gph,6.2E-01,True,OK,FALSE,,Rearray,,41,F06
2,F09,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
2,F10,4676312,SO_4489,5.7E-01,True,OK,FALSE,,Rearray,,46,F12
2,F11,1796272,SO_1707,5.5E-01,True,OK,FALSE,,Rearray,,48,H05
2,F12,3501314,yggW,5.4E-01,True,OK,FALSE,,Rearray,,51,E03
2,G01,891740,yjdF,6.9E-01,True,OK,TRUE,Yes,Rearray,,28,B11
2,G02,705622,SO_0687,5.3E-01,True,OK,FALSE,,Rearray,,29,B08
2,G03,2217866,iaaA,5.6E-01,True,OK,FALSE,,Rearray,,31,G12
2,G04,4332097,ttrR,6.0E-01,True,OK,FALSE,,Rearray,,33,A06
2,G05,1298347,SO_1247,6.0E-01,True,OK,FALSE,,Rearray,,35,C07
2,G06,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
2,G07,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
2,G08,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
2,G09,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
2,G10,4748312,SO_4552,5.4E-01,True,OK,FALSE,,Rearray,,47,A02
2,G11,693425,SO_0675,5.5E-01,True,OK,FALSE,,Rearray,,49,C03
2,G12,5107486,SO_A0150,5.3E-01,True,OK,FALSE,,Rearray,,51,E05
2,H01,3540760,yeeN,4.4E-01,True,OK,FALSE,,Rearray,,28,C02
2,H02,-1,Blank,7.2E-01,False,OK,FALSE,,Rearray,,,
2,H03,-1,Blank,7.4E-01,False,OK,FALSE,,Rearray,,,
2,H04,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
2,H05,3294404,wbfC,5.2E-01,True,OK,FALSE,,Rearray,,35,D01
2,H06,3399978,SO_3263,5.2E-01,True,OK,FALSE,,Rearray,,38,C05
2,H07,4509247,SO_4322,7.6E-01,False,DO,FALSE,,Rearray,,39,H06
2,H08,2420744,SO_2308,5.2E-01,True,OK,FALSE,,Rearray,,42,E10
2,H09,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
2,H10,1472276,SO_1415,4.8E-01,True,OK,FALSE,,Rearray,,47,D02
2,H11,-1,Blank,7.4E-01,False,OK,FALSE,,Rearray,,,
2,H12,3977040,ifcA,4.8E-01,True,OK,FALSE,,Rearray,,51,F01
3,A01,4025457,SO_3877,4.1E-01,True,OK,FALSE,,Rearray,,51,H02
3,A02,2312433,SO_2198,4.7E-01,True,OK,FALSE,,Rearray,,55,C07
3,A03,-1,Blank,7.4E-01,False,OK,FALSE,,Rearray,,,
3,A04,1765359,ivdB,5.2E-01,True,OK,FALSE,,Rearray,,60,A11
3,A05,1438751,SO_1382,5.3E-01,True,OK,FALSE,,Rearray,,61,A12
3,A06,2851626,SO_2736,5.3E-01,True,OK,FALSE,,Rearray,,62,G09
3,A07,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
3,A08,3434146,mltF,5.4E-01,True,OK,FALSE,,Rearray,,66,D02
3,A09,4504486,aggC,5.3E-01,True,OK,FALSE,,Rearray,,68,C08
3,A10,2783594,aroH,5.1E-01,True,OK,FALSE,,Rearray,,70,F06
3,A11,2114111,recR,4.7E-01,True,OK,FALSE,,Rearray,,72,C07
3,A12,-1,Blank,7.2E-01,False,OK,FALSE,,Rearray,,,
3,B01,4076611,SO_3931,4.6E-01,True,OK,FALSE,,Rearray,,51,H05
3,B02,-1,Blank,7.4E-01,False,OK,FALSE,,Rearray,,,
3,B03,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
3,B04,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
3,B05,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
3,B06,2091776,cheV,5.9E-01,True,OK,FALSE,,Rearray,,63,B08
3,B07,3921667,SO_3772,5.7E-01,True,OK,FALSE,,Rearray,,64,F05
3,B08,165959,SO_0159,5.9E-01,True,OK,FALSE,,Rearray,,66,G12
3,B09,2460067,SO_2352,5.7E-01,True,OK,FALSE,,Rearray,,68,F11
3,B10,4574785,SO_4379,5.5E-01,True,OK,FALSE,,Rearray,,71,B12
3,B11,2893515,SO_2769,5.1E-01,True,OK,FALSE,,Rearray,,72,D05
3,B12,-1,Blank,7.7E-01,False,OK,FALSE,,Rearray,,,
3,C01,4333460,SO_4159,6.9E-01,True,OK,TRUE,,Rearray,,53,B02
3,C02,2912544,sbcB,5.5E-01,True,OK,FALSE,,Rearray,,56,A12
3,C03,2251708,SO_2144,5.4E-01,True,OK,FALSE,,Rearray,,58,D05
3,C04,3391262,flgA,5.7E-01,True,OK,FALSE,Yes,Rearray,,60,C12
3,C05,3991046,SO_3842,6.0E-01,True,OK,FALSE,,Rearray,,61,B08
3,C06,32028,hemG,6.0E-01,True,OK,FALSE,,Rearray,,63,D11
3,C07,-1,Blank,8.4E-01,False,OK,FALSE,,Rearray,,,
3,C08,3864216,SO_3716,6.0E-01,True,OK,FALSE,,Rearray,,66,G06
3,C09,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
3,C10,4529777,SO_4339,5.6E-01,True,OK,FALSE,,Rearray,,71,E11
3,C11,836407,macB,5.7E-01,True,OK,FALSE,,Rearray,,72,E09
3,C12,4364897,rraA,5.4E-01,True,OK,FALSE,,Rearray,,74,E09
3,D01,-1,Blank,7.1E-01,False,OK,FALSE,,Rearray,,,
3,D02,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
3,D03,2546508,cmoA,5.5E-01,True,OK,FALSE,,Rearray,,58,F01
3,D04,2684672,SO_2552,5.8E-01,True,OK,FALSE,,Rearray,,60,C07
3,D05,-1,Blank,6.2E-01,True,CC,FALSE,,Rearray,,,
3,D06,2436379,cheD,6.0E-01,True,OK,FALSE,,Rearray,,63,F11
3,D07,2565345,susB,5.9E-01,True,OK,FALSE,,Rearray,,65,D03
3,D08,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
3,D09,4845423,SO_4649,5.8E-01,True,OK,FALSE,,Rearray,,68,H11
3,D10,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
3,D11,694724,SO_0676,5.5E-01,True,OK,FALSE,,Rearray,,72,F06
3,D12,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,E01,4899036,gst,4.8E-01,True,OK,FALSE,,Rearray,,54,D07
3,E02,-1,Blank,5.6E-01,False,OK,FALSE,,Rearray,,,
3,E03,3997015,SO_3848,5.5E-01,True,OK,FALSE,,Rearray,,58,F12
3,E04,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
3,E05,-1,Blank,8.3E-01,False,OK,FALSE,,Rearray,,,
3,E06,-1,Blank,8.4E-01,False,OK,FALSE,,Rearray,,,
3,E07,2593045,SO_2470,6.0E-01,True,OK,FALSE,,Rearray,,65,G07
3,E08,4949603,SO_4738,6.0E-01,True,OK,FALSE,,Rearray,,67,B05
3,E09,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
3,E10,109612,fdnG,5.6E-01,True,OK,FALSE,,Rearray,,71,G06
3,E11,209935,tnpA,5.6E-01,True,OK,FALSE,,Rearray,,72,H04
3,E12,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
3,F01,-1,Blank,7.2E-01,False,OK,FALSE,,Rearray,,,
3,F02,690268,SO_0672,5.4E-01,True,OK,FALSE,,Rearray,,57,E04
3,F03,2547359,cmoB,5.5E-01,True,OK,FALSE,,Rearray,,58,G07
3,F04,30955,hemG,5.9E-01,True,OK,FALSE,,Rearray,,60,G03
3,F05,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
3,F06,1446813,SO_1389,6.0E-01,True,OK,FALSE,,Rearray,,63,G12
3,F07,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,F08,405075,SO_4762,5.9E-01,True,OK,FALSE,,Rearray,,67,D07
3,F09,2843459,SO_2726,5.6E-01,True,OK,FALSE,,Rearray,,70,B11
3,F10,5123936,SO_A0165,5.5E-01,True,OK,FALSE,,Rearray,,71,H03
3,F11,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,F12,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
3,G01,-1,Blank,7.0E-01,True,CC,FALSE,,Rearray,,,
3,G02,-1,Blank,7.1E-01,False,OK,FALSE,,Rearray,,,
3,G03,3922936,putA,5.5E-01,True,OK,FALSE,,Rearray,,58,G08
3,G04,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,G05,-1,Blank,8.3E-01,False,OK,FALSE,,Rearray,,,
3,G06,-1,Blank,8.3E-01,False,OK,FALSE,,Rearray,,,
3,G07,3751825,azr,5.9E-01,True,OK,FALSE,,Rearray,,66,A05
3,G08,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,G09,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,G10,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
3,G11,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,G12,659364,hrpB,5.4E-01,True,OK,FALSE,,Rearray,,75,C07
3,H01,1366593,SO_1311,4.4E-01,True,OK,FALSE,,Rearray,,55,C03
3,H02,4995216,SO_A0033,5.0E-01,True,OK,FALSE,,Rearray,,58,B05
3,H03,1799540,SO_1711,4.8E-01,True,OK,FALSE,,Rearray,,59,E01
3,H04,2145155,SO_2047,5.0E-01,True,OK,FALSE,,Rearray,,60,H10
3,H05,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
3,H06,5078996,SO_A0122,5.4E-01,True,OK,FALSE,,Rearray,,64,D11
3,H07,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
3,H08,2421963,crcB,5.1E-01,True,OK,FALSE,,Rearray,,68,A08
3,H09,1558407,malQ,5.2E-01,True,OK,FALSE,,Rearray,,70,E03
3,H10,1267792,deoD,5.0E-01,True,OK,FALSE,,Rearray,,72,A06
3,H11,1928552,SO_1837,4.9E-01,True,OK,FALSE,,Rearray,,73,F05
3,H12,990979,SO_0955,4.9E-01,True,OK,FALSE,,Rearray,,75,F02
4,A01,4055536,echH,4.6E-01,True,OK,FALSE,,Rearray,,75,F09
4,A02,2927796,SO_2804,5.1E-01,True,OK,FALSE,,Rearray,,78,E04
4,A03,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
4,A04,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
4,A05,2329602,SO_2216,5.6E-01,True,OK,FALSE,,Rearray,,85,F03
4,A06,-1,Blank,6.0E-01,True,CC,FALSE,,Rearray,,,
4,A07,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
4,A08,4070436,hydG,5.4E-01,True,OK,FALSE,Yes,Rearray,,90,F12
4,A09,1799131,SO_1709,5.2E-01,True,OK,FALSE,,Rearray,,91,F04
4,A10,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
4,A11,1076433,cobU,4.9E-01,True,OK,FALSE,,Rearray,,95,A09
4,A12,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
4,B01,-1,Blank,7.1E-01,False,OK,FALSE,,Rearray,,,
4,B02,549236,rmrB,5.6E-01,True,OK,FALSE,,Rearray,,78,F12
4,B03,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
4,B04,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
4,B05,413537,frdB,6.1E-01,True,OK,FALSE,,Rearray,,85,G06
4,B06,1808660,pstC,6.2E-01,True,OK,FALSE,,Rearray,,86,H07
4,B07,1553042,SO_1486,5.8E-01,True,OK,FALSE,,Rearray,,88,H01
4,B08,122964,SO_0112,5.9E-01,True,OK,FALSE,,Rearray,,91,A06
4,B09,4631446,cooD,5.6E-01,True,OK,FALSE,,Rearray,,91,G10
4,B10,-1,Blank,5.7E-01,True,CC,FALSE,,Rearray,,,
4,B11,683589,gpE,5.4E-01,True,OK,FALSE,,Rearray,,95,C01
4,B12,1433710,SO_1377,5.3E-01,True,OK,FALSE,,Rearray,,96,B01
4,C01,1689277,SO_1605,4.8E-01,True,OK,FALSE,,Rearray,,77,A02
4,C02,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
4,C03,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
4,C04,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
4,C05,692260,SO_0674,6.1E-01,True,OK,FALSE,,Rearray,,85,H07
4,C06,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
4,C07,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
4,C08,933077,nqrE,6.1E-01,True,OK,FALSE,,Rearray,,91,B06
4,C09,1777247,ybiT,5.9E-01,True,OK,FALSE,,Rearray,,91,G06
4,C10,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
4,C11,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
4,C12,2206028,opgH,5.7E-01,True,OK,FALSE,,Rearray,,96,B06
4,D01,-1,Blank,7.1E-01,False,OK,FALSE,,Rearray,,,
4,D02,-1,Blank,7.7E-01,False,OK,FALSE,,Rearray,,,
4,D03,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
4,D04,2811903,gp38,5.9E-01,True,OK,FALSE,,Rearray,,85,A05
4,D05,-1,Blank,8.2E-01,False,OK,FALSE,,Rearray,,,
4,D06,1042681,lysW,6.3E-01,True,OK,FALSE,,Rearray,,87,C10
4,D07,3774222,purT,6.1E-01,True,OK,FALSE,,Rearray,,89,D05
4,D08,338992,SO_0337,6.1E-01,True,OK,FALSE,,Rearray,,91,C08
4,D09,1835925,SO_1753,6.1E-01,True,OK,FALSE,,Rearray,,92,A02
4,D10,4987149,SO_A0020,5.6E-01,True,OK,FALSE,,Rearray,,94,A06
4,D11,2040435,sucD,5.7E-01,True,OK,FALSE,,Rearray,,95,D03
