Plate,Plate Row,Plate Column,Well,Transposon Coordinates,Transposon Locatabilities,Features Disrupted,Distances of Transposon from Translation Starts,Fractional Distances of Transposon from Translation Starts,Locus Tags
2,PR01,PC02,B9,"1761618","unambiguous","SO_1675","308","0.71","SO_1675"
2,PR01,PC02,B10,"3916116","unambiguous","None","NA","NA","None"
2,PR01,PC02,B11,"2622108","unambiguous","SO_4783","243","0.42","SO_4783"
2,PR01,PC02,B12,"","","","","",""
2,PR01,PC02,C1,"3041811","unambiguous","None","NA","NA","None"
2,PR01,PC02,C2,"","","","","",""
2,PR01,PC02,C3,"4809003","unambiguous","None","NA","NA","None"
2,PR01,PC02,C4,"1369943","unambiguous","SO_1314","1133","0.81","SO_1314"
2,PR01,PC02,C5,"108282","unambiguous","None","NA","NA","None"
2,PR01,PC02,C6,"846168","unambiguous","None","NA","NA","None"
2,PR01,PC02,C7,"4890985","unambiguous","None","NA","NA","None"
2,PR01,PC02,C8,"1973121, 2142589","unambiguous, ambiguous","SO_1876, gloA","2044,20","0.93, 0.05","SO_1876, SO_2044"
2,PR01,PC02,C9,"465493","ambiguous","SO_0440","2759","0.86","SO_0440"
2,PR01,PC02,C10,"731090","unambiguous","None","NA","NA","None"
2,PR01,PC02,C11,"946011, 3696997.0","ambiguous, unambiguous","yjjX, xfp","93,491","0.17, 0.21","SO_0917, SO_3542"
2,PR01,PC02,C12,"1636111","unambiguous","phoR","854","0.66","SO_1559"
2,PR01,PC02,D1,"","","","","",""
2,PR01,PC02,D2,"2756427","unambiguous","metG","1710","0.84","SO_2619"
2,PR01,PC02,D3,"417647, 1795598","unambiguous, ambiguous","SO_0403, SO_1706","336,794","0.39, 0.82","SO_0403, SO_1706"
2,PR01,PC02,D4,"","","","","",""
2,PR01,PC02,D5,"3448166","unambiguous","SO_3302","3763","0.97","SO_3302"
2,PR01,PC02,D6,"","","","","",""
2,PR01,PC02,D7,"3338544","unambiguous","SO_3196","95","0.09","SO_3196"
2,PR01,PC02,D8,"1948594","unambiguous","SO_1857","1228","0.71","SO_1857"
2,PR01,PC02,D9,"","","","","",""
2,PR01,PC02,D10,"4375649","unambiguous","None","NA","NA","None"
2,PR01,PC02,D11,"4472229","unambiguous","None","NA","NA","None"
2,PR01,PC02,D12,"2935838","unambiguous","None","NA","NA","None"
2,PR01,PC02,E1,"4561261","unambiguous","SO_4365","756","0.85","SO_4365"
2,PR01,PC02,E2,"4405923","unambiguous","glpK","1023","0.69","SO_4230"
2,PR01,PC02,E3,"","","","","",""
2,PR01,PC02,E4,"61537","unambiguous","SO_0055","1540","0.90","SO_0055"
2,PR01,PC02,E5,"2306236","unambiguous","SO_2193","90","0.13","SO_2193"
2,PR01,PC02,E6,"813696","unambiguous","SO_0801","646","0.71","SO_0801"
2,PR01,PC02,E7,"966582","unambiguous","nhaD","147","0.10","SO_0935"
2,PR01,PC02,E8,"94816","unambiguous","SO_0083","112","0.29","SO_0083"
2,PR01,PC02,E9,"2396174","unambiguous","SO_2282","944","0.70","SO_2282"
2,PR01,PC02,E10,"","","","","",""
2,PR01,PC02,E11,"","","","","",""
2,PR01,PC02,E12,"1369349","unambiguous","anmK","309","0.28","SO_1313"
2,PR01,PC02,F1,"3812300","unambiguous","SO_3659","442","0.81","SO_3659"
2,PR01,PC02,F2,"","","","","",""
2,PR01,PC02,F3,"3956219, 4789250","unambiguous, ambiguous","SO_3801, cusB","624,948","0.81, 0.64","SO_3801, SO_4597"
2,PR01,PC02,F4,"3711666","unambiguous","SO_3553","1246","0.71","SO_3553"
2,PR01,PC02,F5,"4183433","unambiguous","SO_4029","1189","0.87","SO_4029"
2,PR01,PC02,F6,"722715","ambiguous","None","NA","NA","None"
2,PR01,PC02,F7,"418348","unambiguous","SO_0404","145","0.04","SO_0404"
2,PR01,PC02,F8,"","","","","",""
2,PR01,PC02,F9,"722715, 870214","ambiguous, unambiguous","None, napA","NA,1295","NA, 0.52","None, SO_0848"
2,PR01,PC02,F10,"4789250","ambiguous","cusB","948","0.64","SO_4597"
2,PR01,PC02,F11,"3140568","unambiguous","pubA","558","0.37","SO_3030"
2,PR01,PC02,F12,"744707, 3956219","unambiguous, unambiguous","SO_0730, SO_3801","1337,624","0.64, 0.81","SO_0730, SO_3801"
2,PR01,PC02,G1,"","","","","",""
2,PR01,PC02,G2,"","","","","",""
2,PR01,PC02,G3,"82357","unambiguous","natA","281","0.38","SO_0070"
2,PR01,PC02,G4,"2052510","unambiguous","SO_1949","491","0.13","SO_1949"
2,PR01,PC02,G5,"292444","unambiguous","pilQ","877","0.43","SO_0285"
2,PR01,PC02,G6,"466104, 3361410","unambiguous, unambiguous","SO_0440, fliK","2148,1285","0.67, 0.81","SO_0440, SO_3223"
2,PR01,PC02,G7,"1188000, 4165288","unambiguous, unambiguous","SO_1144, SO_4018","395,1130","0.36, 0.82","SO_1144, SO_4018"
2,PR01,PC02,G8,"3662871","unambiguous","SO_3510","734","0.75","SO_3510"
2,PR01,PC02,G9,"4948488","ambiguous","ccoG","973","0.68","SO_4737"
2,PR01,PC02,G10,"3674777, 5019879","unambiguous, unambiguous","fimT, SO_A0061","50,323","0.10, 0.47","SO_3520, SO_A0061"
2,PR01,PC02,G11,"4046318","ambiguous","SO_3898","499","0.42","SO_3898"
2,PR01,PC02,G12,"4441271","unambiguous","hsdM","1462","0.91","SO_4265"
2,PR01,PC02,H1,"","","","","",""
2,PR01,PC02,H2,"641373","unambiguous","SO_0615","341","0.30","SO_0615"
2,PR01,PC02,H3,"654369, 3560569","ambiguous, unambiguous","SO_0628, None","901,NA","0.41, NA","SO_0628, None"
2,PR01,PC02,H4,"","","","","",""
2,PR01,PC02,H5,"","","","","",""
2,PR01,PC02,H6,"","","","","",""
2,PR01,PC02,H7,"4444978","unambiguous","hsdR","2872","0.81","SO_4267"
2,PR01,PC02,H8,"4767857.0","unambiguous","menD","860","0.50","SO_4573"
2,PR01,PC02,H9,"3562437, 3596853","unambiguous, ambiguous","None, SO_3454","NA,347","NA, 0.29","None, SO_3454"
2,PR01,PC02,H10,"572509","unambiguous","SO_0550","34","0.09","SO_0550"
2,PR01,PC02,H11,"3064525","ambiguous","SO_2930","2087","0.77","SO_2930"
2,PR01,PC02,H12,"2903204","unambiguous","yceF","231","0.39","SO_2782"
3,PR01,PC03,A1,"3336511","unambiguous","SO_3195","794","0.53","SO_3195"
3,PR01,PC03,A2,"4096200","ambiguous","mlaD","218","0.46","SO_3952"
3,PR01,PC03,A3,"","","","","",""
3,PR01,PC03,A4,"2290897, 2914260, 4205539, 5121686","ambiguous, unambiguous, unambiguous, ambiguous","None, cdd, slyA, None","NA,472,4,NA","NA, 0.53, 0.01, NA","None, SO_2791, SO_4052, None"
3,PR01,PC03,A5,"4840026","unambiguous","SO_4812","949","0.52","SO_4812"
3,PR01,PC03,A6,"","","","","",""
3,PR01,PC03,A7,"449239","unambiguous","SO_0427","4410","0.99","SO_0427"
3,PR01,PC03,A8,"5082404","ambiguous","None","NA","NA","None"
3,PR01,PC03,A9,"","","","","",""
3,PR01,PC03,A10,"","","","","",""
3,PR01,PC03,A11,"2622465","unambiguous","None","NA","NA","None"
3,PR01,PC03,A12,"","","","","",""
3,PR01,PC03,B1,"5097786","ambiguous","SO_A0140","1559","0.67","SO_A0140"
3,PR01,PC03,B2,"","","","","",""
3,PR01,PC03,B3,"995328, 2205005, 2757375, 4143909","unambiguous, unambiguous, unambiguous, unambiguous","SO_0959, opgG, SO_2620, None","151,851,429,NA","0.10, 0.52, 0.45, NA","SO_0959, SO_2107, SO_2620, None"
3,PR01,PC03,B4,"4205539","unambiguous","slyA","4","0.01","SO_4052"
3,PR01,PC03,B5,"","","","","",""
3,PR01,PC03,B6,"995328","unambiguous","SO_0959","151","0.10","SO_0959"
3,PR01,PC03,B7,"449239","unambiguous","SO_0427","4410","0.99","SO_0427"
3,PR01,PC03,B8,"5082404","ambiguous","None","NA","NA","None"
3,PR01,PC03,B9,"4143909","unambiguous","None","NA","NA","None"
3,PR01,PC03,B10,"","","","","",""
3,PR01,PC03,B11,"2757375, 3397269","unambiguous, ambiguous","SO_2620, SO_3261","429,333","0.45, 0.38","SO_2620, SO_3261"
3,PR01,PC03,B12,"","","","","",""
3,PR01,PC03,C1,"3180523","unambiguous","purF","1207","0.80","SO_3064"
3,PR01,PC03,C2,"1271805, 2564151","unambiguous, unambiguous","SO_1225, trmK","2246,593","0.94, 0.79","SO_1225, SO_2449"
3,PR01,PC03,C3,"609087, 4330952","unambiguous, unambiguous","bfd, ttrS","4,877","0.02, 0.49","SO_0583, SO_4155"
3,PR01,PC03,C4,"2378133","unambiguous","None","NA","NA","None"
3,PR01,PC03,C5,"2692462","ambiguous","None","NA","NA","None"
3,PR01,PC03,C6,"1271805","unambiguous","SO_1225","2246","0.94","SO_1225"
3,PR01,PC03,C7,"706469","unambiguous","SO_0688","554","0.31","SO_0688"
3,PR01,PC03,C8,"1191165, 1689619.0","unambiguous, unambiguous","None, SO_1606","NA,1829","NA, 0.92","None, SO_1606"
3,PR01,PC03,C9,"2377953","ambiguous","cysE","713","0.87","SO_2262"
3,PR01,PC03,C10,"3606585, 4929561","ambiguous, ambiguous","lldR, moaA","37,699","0.04, 0.71","SO_3460, SO_4724"
3,PR01,PC03,C11,"1785301","unambiguous","SO_1697","272","0.26","SO_1697"
3,PR01,PC03,C12,"","","","","",""
3,PR01,PC03,D1,"584020","unambiguous","None","NA","NA","None"
3,PR01,PC03,D2,"2991162, 5004823","unambiguous, unambiguous","None, None","NA,NA","NA, NA","None, None"
3,PR01,PC03,D3,"4678173","unambiguous","None","NA","NA","None"
3,PR01,PC03,D4,"","","","","",""
3,PR01,PC03,D5,"2595474","unambiguous","SO_2473","424","0.51","SO_2473"
3,PR01,PC03,D6,"1251212","unambiguous","truB","82","0.09","SO_1206"
3,PR01,PC03,D7,"145753, 1251212","unambiguous, unambiguous","ftn, truB","41,82","0.08, 0.09","SO_0139, SO_1206"
3,PR01,PC03,D8,"","","","","",""
3,PR01,PC03,D9,"1748454","unambiguous","None","NA","NA","None"
3,PR01,PC03,D10,"5004823","unambiguous","None","NA","NA","None"
3,PR01,PC03,D11,"1785301","unambiguous","SO_1697","272","0.26","SO_1697"
3,PR01,PC03,D12,"918936","ambiguous","None","NA","NA","None"
3,PR01,PC03,E1,"2914259","unambiguous","cdd","471","0.53","SO_2791"
3,PR01,PC03,E2,"260740, 3816317","unambiguous, unambiguous","ccmE, None","286,NA","0.59, NA","SO_0259, None"
3,PR01,PC03,E3,"1610209","unambiguous","SO_1535","142","0.36","SO_1535"
3,PR01,PC03,E4,"4528378","unambiguous","pgpB","745","0.95","SO_4335"
3,PR01,PC03,E5,"","","","","",""
3,PR01,PC03,E6,"1487874, 2063133","ambiguous, unambiguous","None, SO_1956","NA,471","NA, 0.77","None, SO_1956"
3,PR01,PC03,E7,"2711846, 4843062","ambiguous, unambiguous","SO_2584, SO_4647","461,179","0.66, 0.26","SO_2584, SO_4647"
3,PR01,PC03,E8,"828249.0, 1689619","unambiguous, ambiguous","btuB, SO_1606","1094,1829","0.56, 0.92","SO_0815, SO_1606"
3,PR01,PC03,E9,"1409192, 3816317","unambiguous, unambiguous","SO_1353, None","435,NA","0.83, NA","SO_1353, None"
3,PR01,PC03,E10,"4900841, 5118654","unambiguous, unambiguous","prlC, SO_A0160","1032,54","0.51, 0.06","SO_4699, SO_A0160"
3,PR01,PC03,E11,"3918222","unambiguous","ygiF","842","0.56","SO_3769"
3,PR01,PC03,E12,"828249, 3270802","ambiguous, unambiguous","btuB, SO_3139","1094,1788","0.56, 0.58","SO_0815, SO_3139"
3,PR01,PC03,F1,"364391, 2611501, 5097786","unambiguous, unambiguous, ambiguous","SO_0357, zwf, SO_A0140","27,1088,1559","0.01, 0.74, 0.67","SO_0357, SO_2489, SO_A0140"
3,PR01,PC03,F2,"1543837.0","unambiguous","SO_1480","1674","0.94","SO_1480"
3,PR01,PC03,F3,"103477","unambiguous","hutI","283","0.23","SO_0095"
3,PR01,PC03,F4,"2484127","unambiguous","SO_2380","299","0.15","SO_2380"
3,PR01,PC03,F5,"1149758","unambiguous","nqrD","208","0.33","SO_1106"
3,PR01,PC03,F6,"","","","","",""
3,PR01,PC03,F7,"2707099","unambiguous","rnd","714","0.65","SO_2580"
3,PR01,PC03,F8,"3105439","unambiguous","SO_4791","36","0.12","SO_4791"
3,PR01,PC03,F9,"4929562","unambiguous","moaA","700","0.71","SO_4724"
3,PR01,PC03,F10,"1532476","unambiguous","SO_1467","67","0.11","SO_1467"
3,PR01,PC03,F11,"","","","","",""
3,PR01,PC03,F12,"2049290","unambiguous","phoP","503","0.75","SO_1946"
3,PR01,PC03,G1,"3177107","ambiguous","topB","745","0.35","SO_3061"
3,PR01,PC03,G2,"291316, 3177107","unambiguous, ambiguous","pilP, topB","286,745","0.56, 0.35","SO_0284, SO_3061"
3,PR01,PC03,G3,"4508425","ambiguous","aggA","1269","0.90","SO_4320"
3,PR01,PC03,G4,"3177107, 4274394","ambiguous, unambiguous","topB, mshI1","745,555","0.35, 0.63","SO_3061, SO_4115"
3,PR01,PC03,G5,"3616266","unambiguous","glyA","1026","0.82","SO_3471"
3,PR01,PC03,G6,"","","","","",""
3,PR01,PC03,G7,"","","","","",""
3,PR01,PC03,G8,"4178061, 5000356","unambiguous, ambiguous","SO_4025, SO_A0039","2138,971","0.37, 0.89","SO_4025, SO_A0039"
3,PR01,PC03,G9,"1307568, 5000356","unambiguous, ambiguous","SO_1258, SO_A0039","123,971","0.10, 0.89","SO_1258, SO_A0039"
3,PR01,PC03,G10,"","","","","",""
3,PR01,PC03,G11,"3559222, 5000356","unambiguous, ambiguous","SO_3418, SO_A0039","36,971","0.10, 0.89","SO_3418, SO_A0039"
3,PR01,PC03,G12,"572186, 918936.0","ambiguous, unambiguous","SO_0550, None","357,NA","0.93, NA","SO_0550, None"
3,PR01,PC03,H1,"","","","","",""
3,PR01,PC03,H2,"639015, 806202, 3031908, 3853545","unambiguous, ambiguous, unambiguous, unambiguous","SO_0614, SO_0793, None, SO_3704","651,341,NA,4","0.26, 0.67, NA, 0.02","SO_0614, SO_0793, None, SO_3704"
3,PR01,PC03,H3,"1778253, 3356268, 4711727","unambiguous, unambiguous, unambiguous","ybiT, flhB, SO_4516","1101,480,561","0.69, 0.42, 0.27","SO_1690, SO_3215, SO_4516"
3,PR01,PC03,H4,"749534","ambiguous","SO_0735","22","0.02","SO_0735"
3,PR01,PC03,H5,"3853545","unambiguous","SO_3704","4","0.02","SO_3704"
3,PR01,PC03,H6,"1777678","unambiguous","ybiT","526","0.33","SO_1690"
3,PR01,PC03,H7,"749534, 1778253","ambiguous, unambiguous","SO_0735, ybiT","22,1101","0.02, 0.69","SO_0735, SO_1690"
3,PR01,PC03,H8,"3604040","unambiguous","barA","2090","0.74","SO_3457"
3,PR01,PC03,H9,"806202","ambiguous","SO_0793","341","0.67","SO_0793"
3,PR01,PC03,H10,"1510708, 4357294, 5046457","unambiguous, unambiguous, ambiguous","SO_1451, SO_4818, None","176,106,NA","0.43, 0.24, NA","SO_1451, SO_4818, None"
3,PR01,PC03,H11,"1679368","unambiguous","pfaA","6794","0.89","SO_1602"
3,PR01,PC03,H12,"3031908, 3235286","unambiguous, unambiguous","None, sapSH","NA,1743","NA, 0.72","None, SO_3106"
4,PR01,PC04,A1,"3740689","ambiguous","None","NA","NA","None"
4,PR01,PC04,A2,"659971","unambiguous","hrpB","1895","0.76","SO_0632"
4,PR01,PC04,A3,"4260664","unambiguous","mshQ","639","0.17","SO_4100"
4,PR01,PC04,A4,"","","","","",""
4,PR01,PC04,A5,"1033432, 1697670","ambiguous, unambiguous","chaA, csrB1","406,56","0.37, 0.14","SO_1001, SO_m008"
4,PR01,PC04,A6,"1813478","unambiguous","phoU","137","0.19","SO_1726"
4,PR01,PC04,A7,"4294382","unambiguous","SO_4138","371","0.77","SO_4138"
4,PR01,PC04,A8,"4260664","unambiguous","mshQ","639","0.17","SO_4100"
4,PR01,PC04,A9,"3380946","unambiguous","None","NA","NA","None"
4,PR01,PC04,A10,"3475967","unambiguous","None","NA","NA","None"
4,PR01,PC04,A11,"4140042","ambiguous","SO_4002","3759","0.74","SO_4002"
4,PR01,PC04,A12,"1374312, 4444815","unambiguous, unambiguous","yadS, hsdR","196,3035","0.31, 0.85","SO_1319, SO_4267"
4,PR01,PC04,B1,"3740689, 3852446, 4159271","ambiguous, ambiguous, ambiguous","None, SO_3701, SO_4014","NA,305,821","NA, 0.34, 0.27","None, SO_3701, SO_4014"
4,PR01,PC04,B2,"659971, 4159271","unambiguous, ambiguous","hrpB, SO_4014","1895,821","0.76, 0.27","SO_0632, SO_4014"
4,PR01,PC04,B3,"84252, 2184691, 2890125, 4599390","unambiguous, unambiguous, unambiguous, unambiguous","SO_0071, lpxM, asnB, None","8,47,803,NA","0.00, 0.05, 0.48, NA","SO_0071, SO_2088, SO_2767, None"
4,PR01,PC04,B4,"4159271","ambiguous","SO_4014","821","0.27","SO_4014"
4,PR01,PC04,B5,"932464","unambiguous","nqrD","151","0.24","SO_0905"
4,PR01,PC04,B6,"","","","","",""
4,PR01,PC04,B7,"2890125","unambiguous","asnB","803","0.48","SO_2767"
4,PR01,PC04,B8,"","","","","",""
4,PR01,PC04,B9,"","","","","",""
4,PR01,PC04,B10,"2878700","ambiguous","None","NA","NA","None"
4,PR01,PC04,B11,"84252, 2878700, 4048918, 4140042","unambiguous, ambiguous, ambiguous, ambiguous","SO_0071, None, SO_3900, SO_4002","8,NA,471,3759","0.00, NA, 0.82, 0.74","SO_0071, None, SO_3900, SO_4002"
4,PR01,PC04,B12,"2184691, 4444815","unambiguous, unambiguous","lpxM, hsdR","47,3035","0.05, 0.85","SO_2088, SO_4267"
4,PR01,PC04,C1,"805126","unambiguous","None","NA","NA","None"
4,PR01,PC04,C2,"2222759","unambiguous","SO_2117","874","0.77","SO_2117"
