#Condensed Collection Plate,Condensed Collection Row,Condensed Collection Column,Condensed Collection Well,Condensed Collection Plate Row,Condensed Collection Plate Column,Progenitor Collection Plate,Progenitor Collection Row,Progenitor Collection Column,Progenitor Collection Well,Condensation Type,Desired Transposon Coordinate,Desired Feature,Desired Locus Tag
116,E,10,E10,1,116,102,E,7,E07,Rearray,1066007,SO_1029,SO_1029
116,F,10,F10,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,G,10,G10,1,116,102,G,9,G09,Rearray,1697725,csrB1,SO_m008
116,H,10,H10,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,A,11,A11,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,B,11,B11,1,116,103,A,1,A01,Rearray,497937,cdd1,SO_0473
116,C,11,C11,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,D,11,D11,1,116,103,C,1,C01,Rearray,729597,SO_0710,SO_0710
116,E,11,E11,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,F,11,F11,1,116,103,C,11,C11,Rearray,4095098,mlaB,SO_3950
116,G,11,G11,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,H,11,H11,1,116,103,G,2,G02,Rearray,1644423,yfaZ,SO_1568
116,A,12,A12,1,116,103,H,3,H03,Rearray,2437032,cheB,SO_2327
116,B,12,B12,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,C,12,C12,1,116,103,B,4,B04,Rearray,1028790,SO_0997,SO_0997
116,D,12,D12,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,E,12,E12,1,116,103,H,4,H04,Rearray,608299,tpmT,SO_0582
116,F,12,F12,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,G,12,G12,1,116,103,E,5,E05,Rearray,3265508,dctM,SO_3136
116,H,12,H12,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,A,1,A01,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,B,1,B01,1,117,103,G,6,G06,Rearray,171057,hslR,SO_0164
117,C,1,C01,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,D,1,D01,1,117,103,B,8,B08,Rearray,4659641,glnL,SO_4471
117,E,1,E01,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,F,1,F01,1,117,103,B,9,B09,Rearray,4762326,yjeH,SO_4565
117,G,1,G01,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,H,1,H01,1,117,104,G,1,G01,Rearray,4559156,recG,SO_4364
117,A,2,A02,1,117,104,C,11,C11,Rearray,2176678,SO_2081,SO_2081
117,B,2,B02,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,C,2,C02,1,117,104,A,12,A12,Rearray,1154985,SO_1113,SO_1113
117,D,2,D02,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,E,2,E02,1,117,104,E,4,E04,Rearray,1544498,kefC,SO_1481
117,F,2,F02,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,G,2,G02,1,117,104,A,5,A05,Rearray,2032793,sdhA,SO_1928
117,H,2,H02,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,A,3,A03,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,B,3,B03,1,117,104,H,6,H06,Rearray,919386,SO_0890,SO_0890
117,C,3,C03,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,D,3,D03,1,117,104,B,7,B07,Rearray,5008070,SO_A0176,SO_A0176
117,E,3,E03,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,F,3,F03,1,117,104,B,8,B08,Rearray,2673533,SO_2542,SO_2542
117,G,3,G03,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,H,3,H03,1,117,104,C,8,C08,Rearray,4105826,SO_3966,SO_3966
117,A,4,A04,1,117,104,H,8,H08,Rearray,5122374,SO_A0163,SO_A0163
117,B,4,B04,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,C,4,C04,1,117,105,C,1,C01,Rearray,2835332,deoR,SO_2717
117,D,4,D04,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,E,4,E04,1,117,105,C,10,C10,Rearray,227990,tufB,SO_0217
117,F,4,F04,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,G,4,G04,1,117,105,E,10,E10,Rearray,2667891,SO_2537,SO_2537
117,H,4,H04,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,A,5,A05,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,B,5,B05,1,117,105,A,2,A02,Rearray,3920296,SO_3771,SO_3771
117,C,5,C05,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,D,5,D05,1,117,105,E,2,E02,Rearray,494430,SO_4764,SO_4764
117,E,5,E05,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,F,5,F05,1,117,105,G,2,G02,Rearray,3799464,rsmA,SO_3639
117,G,5,G05,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,H,5,H05,1,117,105,H,2,H02,Rearray,268784,SO_0269,SO_0269
117,A,6,A06,1,117,105,C,3,C03,Rearray,3831405,SO_3679,SO_3679
117,B,6,B06,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,C,6,C06,1,117,105,F,3,F03,Rearray,3084352,SO_2945,SO_2945
117,D,6,D06,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,E,6,E06,1,117,105,H,3,H03,Rearray,4441002,hsdS,SO_4264
117,F,6,F06,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,G,6,G06,1,117,105,F,6,F06,Rearray,4042472,omp35,SO_3896
117,H,6,H06,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,A,7,A07,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,B,7,B07,1,117,105,G,6,G06,Rearray,3783080,SO_3622,SO_3622
117,C,7,C07,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,D,7,D07,1,117,105,B,7,B07,Rearray,2821860,gpS,SO_2704
117,E,7,E07,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,F,7,F07,1,117,105,E,7,E07,Rearray,2288387,ndpA,SO_2177
117,G,7,G07,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,H,7,H07,1,117,105,H,8,H08,Rearray,983425,srmB,SO_0947
117,A,8,A08,1,117,106,D,1,D01,Rearray,3914198,SO_3764,SO_3764
117,B,8,B08,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,C,8,C08,1,117,106,A,12,A12,Rearray,4324920,SO_4150,SO_4150
117,D,8,D08,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,E,8,E08,1,117,106,C,12,C12,Rearray,2280275,SO_2167,SO_2167
117,F,8,F08,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,G,8,G08,1,117,106,F,12,F12,Rearray,680512,E18,SO_0658
117,H,8,H08,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,A,9,A09,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,B,9,B09,1,117,106,C,3,C03,Rearray,2424243,ecoT,SO_2312
117,C,9,C09,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,D,9,D09,1,117,106,G,3,G03,Rearray,3990010,SO_3840,SO_3840
117,E,9,E09,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,F,9,F09,1,117,106,F,6,F06,Rearray,4438869,rflB,SO_4262
117,G,9,G09,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,H,9,H09,1,117,106,B,7,B07,Rearray,4994597,SO_A0032,SO_A0032
117,A,10,A10,1,117,107,E,2,E02,Rearray,2074336,SO_1969,SO_1969
117,B,10,B10,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,C,10,C10,1,117,107,G,4,G04,Rearray,1195284,SO_1151,SO_1151
117,D,10,D10,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,E,10,E10,1,117,107,H,5,H05,Rearray,1758867,SO_1672,SO_1672
117,F,10,F10,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,G,10,G10,1,117,107,B,6,B06,Rearray,3244038,queA,SO_3114
117,H,10,H10,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,A,11,A11,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,B,11,B11,1,117,107,B,7,B07,Rearray,3330946,wzd,SO_3192
117,C,11,C11,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,D,11,D11,1,117,107,C,7,C07,Rearray,352312,prpB,SO_0345
117,E,11,E11,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,F,11,F11,1,117,107,G,8,G08,Rearray,4594726,SO_4402,SO_4402
117,G,11,G11,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,H,11,H11,1,117,108,E,1,E01,Rearray,3273511,tdk,SO_3140
117,A,12,A12,1,117,108,E,10,E10,Rearray,984221,yfiC,SO_0948
117,B,12,B12,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,C,12,C12,1,117,108,A,11,A11,Rearray,3657479,nagA,SO_3505
117,D,12,D12,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,E,12,E12,1,117,108,H,11,H11,Rearray,1824497,oleC,SO_1744
117,F,12,F12,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
117,G,12,G12,1,117,108,B,12,B12,Rearray,4163733,mltD,SO_4017
117,H,12,H12,1,117,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,A,1,A01,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,B,1,B01,1,118,108,F,3,F03,Rearray,2039467,sucC,SO_1932
118,C,1,C01,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,D,1,D01,1,118,108,C,4,C04,Rearray,1766546,ivdC,SO_1679
118,E,1,E01,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,F,1,F01,1,118,108,A,6,A06,Rearray,5069372,ompA,SO_A0114
118,G,1,G01,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,H,1,H01,1,118,108,B,7,B07,Rearray,3113191,cII,SO_2988
118,A,2,A02,1,118,108,F,8,F08,Rearray,4632672,rcsB,SO_4444
118,B,2,B02,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,C,2,C02,1,118,108,C,9,C09,Rearray,1690571,SO_1606,SO_1606
118,D,2,D02,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,E,2,E02,1,118,109,D,10,D10,Rearray,3104501,R,SO_2973
118,F,2,F02,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,G,2,G02,1,118,109,G,11,G11,Rearray,2487830,phoX,SO_2385
118,H,2,H02,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,A,3,A03,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,B,3,B03,1,118,109,A,12,A12,Rearray,1374313,yadS,SO_1319
118,C,3,C03,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,D,3,D03,1,118,109,A,2,A02,Rearray,1525561,SO_1463,SO_1463
118,E,3,E03,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,F,3,F03,1,118,109,F,2,F02,Rearray,3841823,SO_3690,SO_3690
118,G,3,G03,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,H,3,H03,1,118,109,F,4,F04,Rearray,1443281,SO_1387,SO_1387
118,A,4,A04,1,118,109,D,8,D08,Rearray,1743226,cysQ,SO_1655
118,B,4,B04,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,C,4,C04,1,118,11,B,5,B05,Rearray,2011768,ybaY,SO_1913
118,D,4,D04,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,E,4,E04,1,118,11,D,5,D05,Rearray,4828069,greB,SO_4631
118,F,4,F04,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,G,4,G04,1,118,11,F,5,F05,Rearray,1509117,SO_1447,SO_1447
118,H,4,H04,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,A,5,A05,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,B,5,B05,1,118,11,H,5,H05,Rearray,318416,SO_0312,SO_0312
118,C,5,C05,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,D,5,D05,1,118,11,H,6,H06,Rearray,4744621,SO_4547,SO_4547
118,E,5,E05,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,F,5,F05,1,118,11,B,7,B07,Rearray,2202404,qseC,SO_2105
118,G,5,G05,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,H,5,H05,1,118,11,C,9,C09,Rearray,2416708,lrp,SO_2305
118,A,6,A06,1,118,110,A,1,A01,Rearray,1405099,rnc,SO_1348
118,B,6,B06,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,C,6,C06,1,118,110,F,10,F10,Rearray,22817,tusA,SO_0019
118,D,6,D06,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,E,6,E06,1,118,110,H,10,H10,Rearray,4612433,SO_4420,SO_4420
118,F,6,F06,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,G,6,G06,1,118,110,A,2,A02,Rearray,647624,SO_0620,SO_0620
118,H,6,H06,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,A,7,A07,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,B,7,B07,1,118,110,H,5,H05,Rearray,767235,glsF,SO_0750
118,C,7,C07,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,D,7,D07,1,118,110,B,6,B06,Rearray,552886,SO_0530,SO_0530
118,E,7,E07,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,F,7,F07,1,118,110,C,8,C08,Rearray,1548357,SO_1482,SO_1482
118,G,7,G07,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,H,7,H07,1,118,110,F,8,F08,Rearray,99063,SO_0090,SO_0090
118,A,8,A08,1,118,110,G,8,G08,Rearray,1865572,mtrF,SO_1780
118,B,8,B08,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,C,8,C08,1,118,110,C,9,C09,Rearray,3918727,ygiF,SO_3769
118,D,8,D08,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,E,8,E08,1,118,111,F,1,F01,Rearray,1070838,cobC,SO_1031
118,F,8,F08,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,G,8,G08,1,118,111,A,10,A10,Rearray,479629,fklB,SO_0453
118,H,8,H08,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,A,9,A09,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,B,9,B09,1,118,111,F,12,F12,Rearray,3471877,SO_3318,SO_3318
118,C,9,C09,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,D,9,D09,1,118,111,A,2,A02,Rearray,3944044,sufC,SO_3792
118,E,9,E09,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,F,9,F09,1,118,111,D,2,D02,Rearray,1753491,phhA,SO_1666
118,G,9,G09,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,H,9,H09,1,118,111,G,2,G02,Rearray,289839,pilM,pilN,SO_0281
118,A,10,A10,1,118,111,H,4,H04,Rearray,1459688,SO_1403,SO_1403
118,B,10,B10,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,C,10,C10,1,118,111,A,5,A05,Rearray,4766280,SO_4571,SO_4571
118,D,10,D10,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,E,10,E10,1,118,111,B,6,B06,Rearray,4767186,menD,SO_4573
118,F,10,F10,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,G,10,G10,1,118,111,G,6,G06,Rearray,2430268,cheA,SO_2320
118,H,10,H10,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,A,11,A11,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,B,11,B11,1,118,111,G,7,G07,Rearray,2645845,SO_2519,SO_2519
118,C,11,C11,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,D,11,D11,1,118,112,G,1,G01,Rearray,3516045,SO_3376,SO_3376
118,E,11,E11,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,F,11,F11,1,118,112,D,10,D10,Rearray,3363135,fliJ,SO_3224
118,G,11,G11,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,H,11,H11,1,118,112,E,10,E10,Rearray,5080394,SO_A0124,SO_A0124
118,A,12,A12,1,118,112,G,10,G10,Rearray,99574,SO_0091,SO_0091
118,B,12,B12,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,C,12,C12,1,118,112,C,12,C12,Rearray,3000985,grxD,SO_2880
118,D,12,D12,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,E,12,E12,1,118,112,G,2,G02,Rearray,2751758,pabC,SO_2615
118,F,12,F12,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
118,G,12,G12,1,118,112,D,3,D03,Rearray,1613490,SO_1539,SO_1539
118,H,12,H12,1,118,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,A,1,A01,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,B,1,B01,1,119,112,G,4,G04,Rearray,3120521,dam,SO_3004
119,C,1,C01,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,D,1,D01,1,119,112,B,7,B07,Rearray,5001025,pemK,SO_A0041
119,E,1,E01,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,F,1,F01,1,119,112,A,8,A08,Rearray,1009902,rumB,SO_0980
119,G,1,G01,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,H,1,H01,1,119,113,E,11,E11,Rearray,1096064,SO_1056,SO_1056
119,A,2,A02,1,119,113,E,12,E12,Rearray,4862947,SO_4824,SO_4824
119,B,2,B02,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,C,2,C02,1,119,113,C,2,C02,Rearray,502134,sirE,SO_0478
119,D,2,D02,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,E,2,E02,1,119,113,H,2,H02,Rearray,3997811,SO_3849,SO_3849
119,F,2,F02,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,G,2,G02,1,119,113,E,5,E05,Rearray,3063049,SO_2930,SO_2930
119,H,2,H02,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,A,3,A03,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,B,3,B03,1,119,113,H,5,H05,Rearray,2655899,SO_4784,SO_4784
119,C,3,C03,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,D,3,D03,1,119,113,C,7,C07,Rearray,3544883,SO_3407,SO_3407
119,E,3,E03,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,F,3,F03,1,119,113,A,9,A09,Rearray,2750873,yceG,SO_2614
119,G,3,G03,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,H,3,H03,1,119,114,F,1,F01,Rearray,3476596,SO_3326,SO_3326
119,A,4,A04,1,119,114,B,11,B11,Rearray,990870,SO_0954,SO_0954
119,B,4,B04,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,C,4,C04,1,119,114,H,2,H02,Rearray,3339490,mlaA,SO_3197
119,D,4,D04,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,E,4,E04,1,119,114,D,3,D03,Rearray,461231,SO_0437,SO_0437
119,F,4,F04,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,G,4,G04,1,119,114,G,4,G04,Rearray,4870753,glpE,SO_4672
119,H,4,H04,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,A,5,A05,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,B,5,B05,1,119,115,G,1,G01,Rearray,4487255,lysA,SO_4309
119,C,5,C05,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,D,5,D05,1,119,115,A,10,A10,Rearray,2864317,SO_2744,SO_2744
119,E,5,E05,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,F,5,F05,1,119,115,H,3,H03,Rearray,4909081,SO_4706,SO_4706
119,G,5,G05,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
119,H,5,H05,1,119,115,A,4,A04,Rearray,4849373,cysT,SO_4653
119,A,6,A06,1,119,115,B,4,B04,Rearray,1981830,SO_1883,SO_1883
119,B,6,B06,1,119,NA,NA,NA,NA,NA,-1,BLANK,BLANK
